timeStamp,Material,TxPower,RTT,RSSI
529623,DEMO,6,1,-48
529832,DEMO,76,3,-30
530038,DEMO,70,1,-32
530243,DEMO,58,1,-35
530449,DEMO,50,1,-37
530654,DEMO,32,1,-42
530860,DEMO,26,2,-36
531065,DEMO,18,1,-36
531261,DEMO,6,1,-48
531468,DEMO,76,1,-30
531675,DEMO,70,3,-31
531881,DEMO,58,1,-35
532086,DEMO,50,1,-36
532292,DEMO,32,1,-42
532497,DEMO,26,2,-37
532703,DEMO,18,2,-36
532784,DEMO,6,1,-49
532898,DEMO,76,2,-30
533114,DEMO,70,2,-32
533310,DEMO,58,2,-35
533515,DEMO,50,1,-38
533727,DEMO,32,7,-42
533932,DEMO,26,1,-36
534138,DEMO,18,2,-36
534324,DEMO,6,2,-49
534531,DEMO,76,1,-30
534747,DEMO,70,2,-31
534953,DEMO,58,1,-36
535159,DEMO,50,1,-36
535364,DEMO,32,1,-42
535569,DEMO,26,1,-36
535775,DEMO,18,1,-37
535981,DEMO,6,2,-49
536084,DEMO,76,1,-30
536186,DEMO,70,2,-32
536371,DEMO,58,1,-35
536587,DEMO,50,1,-36
536792,DEMO,32,1,-42
537001,DEMO,26,5,-36
537207,DEMO,18,2,-35
537413,DEMO,6,1,-47
537584,DEMO,76,7,-47
537820,DEMO,70,1,-29
538026,DEMO,58,1,-32
538232,DEMO,50,1,-36
538437,DEMO,32,2,-39
538643,DEMO,26,1,-34
538838,DEMO,18,2,-34
539045,DEMO,6,3,-48
539253,DEMO,76,3,-29
539459,DEMO,70,1,-31
539665,DEMO,58,2,-34
539870,DEMO,50,1,-36
540076,DEMO,32,1,-42
540177,DEMO,26,1,-36
540278,DEMO,18,1,-35
540484,DEMO,6,2,-48
540589,DEMO,76,3,-48
540690,DEMO,70,2,-31
540896,DEMO,58,2,-34
541102,DEMO,50,2,-36
541303,DEMO,32,7,-41
541509,DEMO,26,1,-36
541714,DEMO,18,1,-36
541923,DEMO,6,4,-48
542089,DEMO,76,1,-30
542326,DEMO,70,2,-31
542532,DEMO,58,1,-34
542738,DEMO,50,3,-35
542944,DEMO,32,1,-41
543139,DEMO,26,1,-36
543345,DEMO,18,1,-35
543551,DEMO,6,2,-48
543760,DEMO,76,3,-30
543967,DEMO,70,3,-32
544156,DEMO,58,6,-35
544373,DEMO,50,2,-36
544579,DEMO,32,1,-41
544786,DEMO,26,3,-35
544982,DEMO,18,1,-36
545072,DEMO,6,2,-48
545196,DEMO,76,1,-30
545402,DEMO,70,2,-31
545597,DEMO,58,1,-35
545803,DEMO,50,1,-36
546009,DEMO,32,1,-41
546216,DEMO,26,4,-35
546422,DEMO,18,2,-35
546627,DEMO,6,1,-48
546835,DEMO,76,2,-29
547040,DEMO,70,2,-30
547225,DEMO,58,1,-33
547441,DEMO,50,1,-35
547647,DEMO,32,2,-40
547852,DEMO,26,1,-34
548059,DEMO,18,3,-33
548266,DEMO,6,2,-46
548369,DEMO,76,2,-28
548470,DEMO,70,2,-29
548677,DEMO,58,3,-30
548884,DEMO,50,3,-33
549069,DEMO,32,1,-37
549285,DEMO,26,2,-32
549501,DEMO,18,1,-32
549686,DEMO,6,2,-45
549803,DEMO,76,4,-26
549906,DEMO,70,3,-28
550111,DEMO,58,1,-31
550317,DEMO,50,2,-34
550502,DEMO,32,1,-38
550718,DEMO,26,2,-32
550924,DEMO,18,1,-31
551129,DEMO,6,1,-44
551338,DEMO,76,3,-26
551543,DEMO,70,2,-28
551749,DEMO,58,1,-30
551955,DEMO,50,1,-32
552163,DEMO,32,4,-35
552351,DEMO,26,5,-33
552568,DEMO,18,1,-34
552774,DEMO,6,2,-47
552877,DEMO,76,2,-29
552978,DEMO,70,1,-30
553184,DEMO,58,1,-33
553380,DEMO,50,2,-37
553585,DEMO,32,1,-41
553791,DEMO,26,1,-35
553999,DEMO,18,4,-35
554205,DEMO,6,1,-45
554339,DEMO,76,1,-45
554608,DEMO,70,2,-29
554814,DEMO,58,2,-30
555019,DEMO,50,1,-31
555225,DEMO,32,2,-38
555433,DEMO,26,4,-31
555639,DEMO,18,1,-32
555844,DEMO,6,1,-45
556042,DEMO,76,2,-30
556248,DEMO,70,2,-35
556455,DEMO,58,2,-27
556661,DEMO,50,3,-26
556867,DEMO,32,2,-29
557073,DEMO,26,1,-26
557278,DEMO,18,1,-26
557484,DEMO,6,2,-37
557587,DEMO,76,1,-37
557688,DEMO,70,1,-22
557894,DEMO,58,2,-25
558099,DEMO,50,1,-26
558284,DEMO,32,2,-31
558500,DEMO,26,1,-26
558713,DEMO,18,9,-25
558918,DEMO,6,1,-36
559084,DEMO,76,1,-36
559176,DEMO,70,1,-21
559319,DEMO,58,1,-26
559524,DEMO,50,1,-27
559730,DEMO,32,2,-30
559936,DEMO,26,1,-25
560143,DEMO,18,3,-25
560349,DEMO,6,2,-36
560556,DEMO,76,1,-19
560762,DEMO,70,1,-21
560947,DEMO,58,1,-23
561162,DEMO,50,1,-25
561368,DEMO,32,1,-29
561573,DEMO,26,2,-24
561779,DEMO,18,1,-24
561985,DEMO,6,2,-37
562098,DEMO,76,1,-37
562399,DEMO,70,3,-20
562605,DEMO,58,2,-23
562810,DEMO,50,1,-26
562995,DEMO,32,1,-29
563211,DEMO,26,2,-24
563417,DEMO,18,1,-24
563622,DEMO,6,1,-36
563832,DEMO,76,4,-19
564037,DEMO,70,1,-21
564243,DEMO,58,1,-23
564449,DEMO,50,1,-25
564634,DEMO,32,2,-29
564850,DEMO,26,1,-25
565055,DEMO,18,1,-24
565261,DEMO,6,1,-35
565374,DEMO,76,1,-19
565455,DEMO,70,1,-20
565673,DEMO,58,4,-22
565879,DEMO,50,2,-25
566084,DEMO,32,1,-29
566290,DEMO,26,1,-24
566495,DEMO,18,2,-24
566701,DEMO,6,1,-36
566846,DEMO,76,1,-36
567103,DEMO,70,1,-21
567309,DEMO,58,1,-24
567516,DEMO,50,3,-25
567722,DEMO,32,2,-28
567927,DEMO,26,1,-24
568134,DEMO,18,3,-24
568330,DEMO,6,1,-36
568537,DEMO,76,1,-19
568742,DEMO,70,1,-20
568950,DEMO,58,3,-23
569155,DEMO,50,2,-25
569361,DEMO,32,1,-29
569567,DEMO,26,2,-24
569773,DEMO,18,1,-24
569968,DEMO,6,1,-35
570094,DEMO,76,3,-35
570375,DEMO,70,3,-20
570590,DEMO,58,1,-23
570796,DEMO,50,1,-25
571004,DEMO,32,4,-29
571189,DEMO,26,1,-25
571405,DEMO,18,2,-37
571612,DEMO,6,3,-46
571819,DEMO,76,1,-22
572025,DEMO,70,1,-24
572231,DEMO,58,1,-26
572415,DEMO,50,1,-28
572632,DEMO,32,2,-32
572837,DEMO,26,1,-27
573042,DEMO,18,2,-27
573248,DEMO,6,1,-40
573351,DEMO,76,1,-21
573452,DEMO,70,1,-22
573657,DEMO,58,1,-26
573863,DEMO,50,2,-28
574071,DEMO,32,4,-32
574276,DEMO,26,1,-27
574482,DEMO,18,1,-27
574688,DEMO,6,1,-40
574791,DEMO,76,1,-22
574892,DEMO,70,2,-24
575098,DEMO,58,2,-26
575283,DEMO,50,1,-28
575499,DEMO,32,1,-34
575705,DEMO,26,2,-28
575910,DEMO,18,1,-28
576117,DEMO,6,3,-40
576324,DEMO,76,2,-23
576530,DEMO,70,1,-24
576736,DEMO,58,2,-26
576942,DEMO,50,2,-29
577127,DEMO,32,2,-36
577342,DEMO,26,1,-24
577548,DEMO,18,1,-25
577757,DEMO,6,6,-35
577861,DEMO,76,2,-19
577975,DEMO,70,4,-21
578149,DEMO,58,1,-23
578365,DEMO,50,1,-25
578571,DEMO,32,1,-30
578776,DEMO,26,1,-24
578981,DEMO,18,1,-24
579187,DEMO,6,1,-36
579354,DEMO,76,2,-36
579497,DEMO,70,2,-20
579599,DEMO,58,3,-23
579806,DEMO,50,2,-25
580011,DEMO,32,1,-30
580218,DEMO,26,2,-24
580423,DEMO,18,2,-24
580609,DEMO,6,2,-40
580828,DEMO,76,2,-24
581034,DEMO,70,2,-26
581241,DEMO,58,2,-25
581446,DEMO,50,1,-27
581653,DEMO,32,2,-32
581838,DEMO,26,2,-26
582054,DEMO,18,1,-26
582265,DEMO,6,8,-41
582368,DEMO,76,1,-25
582470,DEMO,70,1,-25
582675,DEMO,58,2,-27
582863,DEMO,50,5,-28
583081,DEMO,32,2,-34
583335,DEMO,26,38,-36
583488,DEMO,18,2,-34
583695,DEMO,6,3,-46
583850,DEMO,76,1,-46
584161,DEMO,70,33,-31
584315,DEMO,58,1,-40
584500,DEMO,50,1,-38
584590,DEMO,32,1,-38
584724,DEMO,26,3,-46
584909,DEMO,18,2,-35
585125,DEMO,6,2,-47
585332,DEMO,76,1,-28
585538,DEMO,70,1,-35
585745,DEMO,58,3,-50
585950,DEMO,50,1,-38
586156,DEMO,32,2,-57
586344,DEMO,26,5,-40
586560,DEMO,18,2,-38
586767,DEMO,6,3,-67
586871,DEMO,76,2,-34
586973,DEMO,70,3,-34
587179,DEMO,58,1,-36
587384,DEMO,50,1,-36
587590,DEMO,32,1,-44
587785,DEMO,26,2,-41
587991,DEMO,18,2,-38
588197,DEMO,6,1,-55
588352,DEMO,76,1,-55
588612,DEMO,70,3,-32
588817,DEMO,58,1,-37
589023,DEMO,50,1,-37
589234,DEMO,32,17,-44
589419,DEMO,26,2,-36
589635,DEMO,18,1,-44
589841,DEMO,6,1,-56
590048,DEMO,76,1,-38
590253,DEMO,70,1,-44
590459,DEMO,58,2,-46
590644,DEMO,50,1,-43
590860,DEMO,32,1,-46
591065,DEMO,26,1,-46
591275,DEMO,18,6,-40
591480,DEMO,6,1,-54
591606,DEMO,76,3,-54
591874,DEMO,70,1,-42
592090,DEMO,58,1,-46
592296,DEMO,50,1,-45
592503,DEMO,32,3,-45
592709,DEMO,26,2,-44
592915,DEMO,18,1,-44
593110,DEMO,6,1,-57
593317,DEMO,76,1,-40
593523,DEMO,70,1,-38
593728,DEMO,58,1,-43
593936,DEMO,50,3,-53
594142,DEMO,32,2,-46
594347,DEMO,26,1,-50
594553,DEMO,18,1,-32
594738,DEMO,6,2,-49
594956,DEMO,76,2,-31
595064,DEMO,70,29,-31
595155,DEMO,58,1,-33
595371,DEMO,50,2,-43
595576,DEMO,32,1,-48
595785,DEMO,26,4,-33
595970,DEMO,18,2,-34
596186,DEMO,6,1,-49
596356,DEMO,76,6,-49
596593,DEMO,70,1,-35
596809,DEMO,58,1,-36
597004,DEMO,50,1,-37
597211,DEMO,32,3,-54
597419,DEMO,26,3,-47
597625,DEMO,18,1,-36
597830,DEMO,6,2,-51
598033,DEMO,76,6,-50
598239,DEMO,70,2,-24
598446,DEMO,58,2,-26
598630,DEMO,50,1,-29
598847,DEMO,32,2,-35
599053,DEMO,26,1,-26
599259,DEMO,18,2,-22
599465,DEMO,6,3,-36
599610,DEMO,76,2,-36
599879,DEMO,70,1,-12
599959,DEMO,58,2,-14
600081,DEMO,50,1,-21
600164,DEMO,32,3,-21
600255,DEMO,26,2,-36
600496,DEMO,18,5,-54
600694,DEMO,6,5,-47
600860,DEMO,76,2,-47
601097,DEMO,70,1,-30
601303,DEMO,58,1,-51
601510,DEMO,50,3,-43
601715,DEMO,32,1,-50
601921,DEMO,26,1,-48
602128,DEMO,18,3,-41
602335,DEMO,6,2,-50
602532,DEMO,76,1,-36
602737,DEMO,70,2,-33
602943,DEMO,58,1,-34
603024,DEMO,50,2,-34
603145,DEMO,32,1,-43
603351,DEMO,26,1,-37
603558,DEMO,18,3,-42
603764,DEMO,6,2,-54
603869,DEMO,76,3,-36
603974,DEMO,70,5,-36
604182,DEMO,58,5,-39
604367,DEMO,50,1,-40
604583,DEMO,32,2,-43
604792,DEMO,26,4,-34
604998,DEMO,18,1,-34
605194,DEMO,6,2,-48
605359,DEMO,76,2,-48
605607,DEMO,70,2,-31
605815,DEMO,58,4,-38
606021,DEMO,50,1,-42
606227,DEMO,32,2,-45
606432,DEMO,26,1,-34
606617,DEMO,18,1,-35
606833,DEMO,6,2,-50
607041,DEMO,76,1,-29
607246,DEMO,70,1,-31
607453,DEMO,58,2,-34
607658,DEMO,50,1,-35
607864,DEMO,32,1,-42
608070,DEMO,26,2,-35
608265,DEMO,18,1,-36
608470,DEMO,6,2,-49
608605,DEMO,76,2,-49
608884,DEMO,70,2,-34
609090,DEMO,58,2,-36
609296,DEMO,50,1,-38
609501,DEMO,32,1,-44
609707,DEMO,26,1,-36
609913,DEMO,18,1,-36
