timeStamp,Material,TxPower,RTT,RSSI,matOrder,,TxPower,(All),,,,
227259,WATER,32,1,-36,4,,,,,,,
227465,WATER,26,1,-31,4,,,,,,,
227683,WATER,18,3,-31,4,,,,,,,
227868,WATER,6,1,-43,4,,,,,,,
228002,WATER,76,1,-43,4,,,,,,,
228281,WATER,70,1,-27,4,,,,,,,
228487,WATER,58,1,-30,4,,,,,,,
228682,WATER,50,1,-32,4,,,,,,,
228898,WATER,32,1,-37,4,,,,,,,
229104,WATER,26,2,-31,4,,,,,,,
229310,WATER,18,1,-31,4,,,,,,,
229515,WATER,6,1,-44,4,,,,,,,
229722,WATER,76,1,-25,4,,,,,,,
229928,WATER,70,2,-27,4,,,,,,,
230134,WATER,58,1,-30,4,,,,,,,
230339,WATER,50,1,-31,4,,,,,,,
230535,WATER,32,1,-36,4,,,,,,,
230740,WATER,26,1,-30,4,,,,,,,
230946,WATER,18,2,-31,4,,,,,,,
231151,WATER,6,2,-44,4,,,,,,,
231255,WATER,76,2,-27,4,,,,,,,
231357,WATER,70,1,-27,4,,,,,,,
231562,WATER,58,1,-30,4,,,,,,,
231768,WATER,50,1,-32,4,,,,,,,
231973,WATER,32,1,-36,4,,,,,,,
232179,WATER,26,1,-31,4,,,,,,,
232384,WATER,18,1,-31,4,,,,,,,
232590,WATER,6,1,-43,4,,,,,,,
232755,WATER,76,1,-43,4,,,,,,,
232992,WATER,70,1,-27,4,,,,,,,
233197,WATER,58,1,-30,4,,,,,,,
233403,WATER,50,1,-32,4,,,,,,,
233608,WATER,32,1,-38,4,,,,,,,
233814,WATER,26,1,-31,4,,,,,,,
234020,WATER,18,1,-31,4,,,,,,,
234225,WATER,6,1,-43,4,,,,,,,
234433,WATER,76,2,-26,4,,,,,,,
234639,WATER,70,2,-27,4,,,,,,,
234844,WATER,58,1,-29,4,,,,,,,
235050,WATER,50,1,-32,4,,,,,,,
235245,WATER,32,1,-37,4,,,,,,,
235346,WATER,26,11,-37,4,,,,,,,
235458,WATER,18,1,-30,4,,,,,,,
235664,WATER,6,1,-43,4,,,,,,,
235767,WATER,76,1,-26,4,,,,,,,
235857,WATER,70,1,-26,4,,,,,,,
236073,WATER,58,1,-29,4,,,,,,,
236279,WATER,50,2,-31,4,,,,,,,
236464,WATER,32,1,-36,4,,,,,,,
236680,WATER,26,1,-31,4,,,,,,,
236885,WATER,18,1,-31,4,,,,,,,
237091,WATER,6,2,-44,4,,,,,,,
237257,WATER,76,1,-44,4,,,,,,,
237504,WATER,70,1,-27,4,,,,,,,
237709,WATER,58,1,-29,4,,,,,,,
237915,WATER,50,1,-31,4,,,,,,,
238121,WATER,32,1,-37,4,,,,,,,
238326,WATER,26,1,-31,4,,,,,,,
238522,WATER,18,1,-30,4,,,,,,,
238727,WATER,6,1,-44,4,,,,,,,
238935,WATER,76,1,-26,4,,,,,,,
239140,WATER,70,1,-27,4,,,,,,,
239346,WATER,58,1,-30,4,,,,,,,
239552,WATER,50,1,-32,4,,,,,,,
239757,WATER,32,2,-37,4,,,,,,,
239963,WATER,26,1,-30,4,,,,,,,
240168,WATER,18,1,-30,4,,,,,,,
240374,WATER,6,1,-44,4,,,,,,,
240508,WATER,76,1,-44,4,,,,,,,
240776,WATER,70,1,-26,4,,,,,,,
240982,WATER,58,1,-30,4,,,,,,,
241188,WATER,50,1,-32,4,,,,,,,
241393,WATER,32,1,-37,4,,,,,,,
241599,WATER,26,2,-31,4,,,,,,,
241805,WATER,18,2,-30,4,,,,,,,
242010,WATER,6,1,-44,4,,,,,,,
242217,WATER,76,1,-26,4,,,,,,,
242423,WATER,70,1,-27,4,,,,,,,
242618,WATER,58,1,-29,4,,,,,,,
242824,WATER,50,1,-31,4,,,,,,,
